lambda_strategy,run_type,control_family,subset,count,mean_lambda,mean_gate_weight,mean_dist_base,mean_dist_reg0,mean_dist_reg1,mean_retained_ratio
lambda_block_shuffle_100,negative_control,block_shuffle,high_non_sat,538,0.8973239920076647,0.10267600799233546,0.8532975912094116,0.09763830155134201,0.8532975912094116,0.10267601907253265
lambda_block_shuffle_100,negative_control,block_shuffle,low,2986,0.1303084311474875,0.8696915688525125,0.12391495704650879,0.8270208835601807,0.12391495704650879,0.8696916103363037
lambda_block_shuffle_100,negative_control,block_shuffle,all,5971,0.4045709833285672,0.5954290166714328,0.3847210705280304,0.5662147998809814,0.3847210705280304,0.5954290628433228
lambda_block_shuffle_100,negative_control,block_shuffle,high_non_sat,538,0.8973239920076647,0.10267600799233546,0.8532975912094116,0.09763830155134201,0.8532975912094116,0.10267601907253265
lambda_block_shuffle_100,negative_control,block_shuffle,low,2986,0.1303084311474875,0.8696915688525125,0.12391495704650879,0.8270208835601807,0.12391495704650879,0.8696916103363037
lambda_block_shuffle_100,negative_control,block_shuffle,all,5971,0.4045709833285672,0.5954290166714328,0.3847210705280304,0.5662147998809814,0.3847210705280304,0.5954290628433228
lambda_block_shuffle_100,negative_control,block_shuffle,high_non_sat,538,0.8973239920076647,0.10267600799233546,0.8532975912094116,0.09763830155134201,0.8532975912094116,0.10267601907253265
lambda_block_shuffle_100,negative_control,block_shuffle,low,2986,0.1303084311474875,0.8696915688525125,0.12391495704650879,0.8270208835601807,0.12391495704650879,0.8696916103363037
lambda_block_shuffle_100,negative_control,block_shuffle,all,5971,0.4045709833285672,0.5954290166714328,0.3847210705280304,0.5662147998809814,0.3847210705280304,0.5954290628433228
lambda_block_shuffle_100,negative_control,block_shuffle,high_non_sat,538,0.8973239920076647,0.10267600799233546,0.8532975912094116,0.09763830155134201,0.8532975912094116,0.10267601907253265
lambda_block_shuffle_100,negative_control,block_shuffle,low,2986,0.1303084311474875,0.8696915688525125,0.12391495704650879,0.8270208835601807,0.12391495704650879,0.8696916103363037
lambda_block_shuffle_100,negative_control,block_shuffle,all,5971,0.4045709833285672,0.5954290166714328,0.3847210705280304,0.5662147998809814,0.3847210705280304,0.5954290628433228
lambda_block_shuffle_100,negative_control,block_shuffle,high_non_sat,538,0.8973239920076647,0.10267600799233546,0.8532975912094116,0.09763830155134201,0.8532975912094116,0.10267601907253265
lambda_block_shuffle_100,negative_control,block_shuffle,low,2986,0.1303084311474875,0.8696915688525125,0.12391495704650879,0.8270208835601807,0.12391495704650879,0.8696916103363037
lambda_block_shuffle_100,negative_control,block_shuffle,all,5971,0.4045709833285672,0.5954290166714328,0.3847210705280304,0.5662147998809814,0.3847210705280304,0.5954290628433228
lambda_block_shuffle_200,negative_control,block_shuffle,high_non_sat,538,0.8973239920076646,0.10267600799233546,0.8532975912094116,0.09763829410076141,0.8532975912094116,0.10267601162195206
lambda_block_shuffle_200,negative_control,block_shuffle,low,2986,0.13030843114748752,0.8696915688525124,0.12391495704650879,0.8270209431648254,0.12391495704650879,0.8696915507316589
lambda_block_shuffle_200,negative_control,block_shuffle,all,5971,0.4045709833285672,0.5954290166714329,0.3847210705280304,0.5662147998809814,0.3847210705280304,0.5954290628433228
lambda_block_shuffle_200,negative_control,block_shuffle,high_non_sat,538,0.8973239920076646,0.10267600799233546,0.8532975912094116,0.09763829410076141,0.8532975912094116,0.10267601162195206
lambda_block_shuffle_200,negative_control,block_shuffle,low,2986,0.13030843114748752,0.8696915688525124,0.12391495704650879,0.8270209431648254,0.12391495704650879,0.8696915507316589
lambda_block_shuffle_200,negative_control,block_shuffle,all,5971,0.4045709833285672,0.5954290166714329,0.3847210705280304,0.5662147998809814,0.3847210705280304,0.5954290628433228
lambda_block_shuffle_200,negative_control,block_shuffle,high_non_sat,538,0.8973239920076646,0.10267600799233546,0.8532975912094116,0.09763829410076141,0.8532975912094116,0.10267601162195206
lambda_block_shuffle_200,negative_control,block_shuffle,low,2986,0.13030843114748752,0.8696915688525124,0.12391495704650879,0.8270209431648254,0.12391495704650879,0.8696915507316589
lambda_block_shuffle_200,negative_control,block_shuffle,all,5971,0.4045709833285672,0.5954290166714329,0.3847210705280304,0.5662147998809814,0.3847210705280304,0.5954290628433228
lambda_block_shuffle_200,negative_control,block_shuffle,high_non_sat,538,0.8973239920076646,0.10267600799233546,0.8532975912094116,0.09763829410076141,0.8532975912094116,0.10267601162195206
lambda_block_shuffle_200,negative_control,block_shuffle,low,2986,0.13030843114748752,0.8696915688525124,0.12391495704650879,0.8270209431648254,0.12391495704650879,0.8696915507316589
lambda_block_shuffle_200,negative_control,block_shuffle,all,5971,0.4045709833285672,0.5954290166714329,0.3847210705280304,0.5662147998809814,0.3847210705280304,0.5954290628433228
lambda_block_shuffle_200,negative_control,block_shuffle,high_non_sat,538,0.8973239920076646,0.10267600799233546,0.8532975912094116,0.09763829410076141,0.8532975912094116,0.10267601162195206
lambda_block_shuffle_200,negative_control,block_shuffle,low,2986,0.13030843114748752,0.8696915688525124,0.12391495704650879,0.8270209431648254,0.12391495704650879,0.8696915507316589
lambda_block_shuffle_200,negative_control,block_shuffle,all,5971,0.4045709833285672,0.5954290166714329,0.3847210705280304,0.5662147998809814,0.3847210705280304,0.5954290628433228
