metric,value
dist_std_base,0.2925075888633728
dist_std_reg0,0.2925075888633728
dist_std_reg1,0.2925075888633728
rel_pre_mean,0.2779991030693054
rel_pre_std,0.5857738256454468
rel_post_mean,0.30608275532722473
rel_post_std,0.5834878087043762
retained_high_mean,0.24961522221565247
retained_low_mean,0.8919370770454407
retained_gap,0.6423218548297882
pre_correct_rate,0.25823711630526613
post_correct_rate,0.75375
directional_align_overall,0.45807427323138966
switch_window,100
switch_pre_correct_rate,0.29
switch_post_correct_rate,0.73
switch_band_correct_rate,0.51
switch_margin_pre,-0.24227580428123474
switch_margin_post,0.24787792563438416
switch_margin_pre_signed,-0.24227580428123474
switch_margin_post_signed,0.24787792563438416
switch_margin_pre_abs,0.24227580428123474
switch_margin_post_abs,0.24787792563438416
corr_lambda_regime,-0.023549248930615885
corr_gate_regime,0.023549248930615923
corr_retained_regime,0.02354924876761341
auc_switch_lambda,0.5165968506523984
auc_switch_gate,0.5165968506523984
auc_switch_rel,0.5165968506523984
retained_gap_switch,-0.0029456019401550293
retained_gap_switch_signed,-0.0029456019401550293
retained_gap_switch_abs,0.0029456019401550293
peak_delay_lambda,91.0
peak_delay_gate,91.0
peak_delay_rel,91.0
peak_delay_min,91.0
corr_time_lambda_switch,0.010910690885723356
corr_time_gate_switch,-0.01091069088572336
corr_time_retained_switch,-0.010910692904705924
directional_align_abs_thr,0.58
switch_band_abs_thr,0.6
switch_margin_abs_thr,0.0
peak_delay_abs_thr,50.0
retained_gap_switch_abs_thr,0.1
switch_margin_pass,True
peak_delay_pass,False
retained_gap_switch_pass,False
switch_band_pass,False
directional_align_pass,False
abs_pass_all,False
pass_core_checks_v2,False
pass_core_checks_v3_abs,False
pass_core_checks_v3,False
