metric,value
dist_std_base,0.31499990820884705
dist_std_reg0,0.31499990820884705
dist_std_reg1,0.31499990820884705
rel_pre_mean,0.15066401660442352
rel_pre_std,0.7565330266952515
rel_post_mean,0.27587753534317017
rel_post_std,0.3577185273170471
retained_high_mean,0.11681686341762543
retained_low_mean,0.8766564726829529
retained_gap,0.7598396092653275
pre_correct_rate,0.3987609124190369
post_correct_rate,0.76
directional_align_overall,0.5444463115442782
switch_window,400
switch_pre_correct_rate,1.0
switch_post_correct_rate,0.73
switch_band_correct_rate,0.865
switch_margin_pre,0.7845398187637329
switch_margin_post,0.17551246285438538
switch_margin_pre_signed,0.7845398187637329
switch_margin_post_signed,0.17551246285438538
switch_margin_pre_abs,0.7845398187637329
switch_margin_post_abs,0.17551246285438538
corr_lambda_regime,-0.09749934995067429
corr_gate_regime,0.0974993499506742
corr_retained_regime,0.09749933386561574
auc_switch_lambda,0.4691417910447761
auc_switch_gate,0.4691417910447761
auc_switch_rel,0.4691417910447761
retained_gap_switch,-0.5047933906316757
retained_gap_switch_signed,-0.5047933906316757
retained_gap_switch_abs,0.5047933906316757
peak_delay_lambda,378.0
peak_delay_gate,378.0
peak_delay_rel,378.0
peak_delay_min,378.0
corr_time_lambda_switch,-0.7686687345241048
corr_time_gate_switch,0.7686687345241048
corr_time_retained_switch,0.768668733402807
directional_align_abs_thr,0.58
switch_band_abs_thr,0.6
switch_margin_abs_thr,0.0
peak_delay_abs_thr,200.0
retained_gap_switch_abs_thr,0.1
switch_margin_pass,True
peak_delay_pass,False
retained_gap_switch_pass,True
switch_band_pass,True
directional_align_pass,False
abs_pass_all,False
pass_core_checks_v2,False
pass_core_checks_v3_abs,False
pass_core_checks_v3,False
