t,retained_ratio
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,0.000000
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,0.000000
47,0.000000
48,0.000000
49,0.000000
50,0.000000
51,0.000000
52,0.000000
53,0.000000
54,0.000000
55,0.000000
56,0.000000
57,0.000000
58,0.000000
59,0.000000
60,0.000000
61,0.000000
62,0.000000
63,0.000000
64,0.000000
65,0.000000
66,0.000000
67,0.000000
68,0.000000
69,0.000000
70,0.000000
71,0.000000
72,0.000000
73,0.000000
74,0.000000
75,0.000000
76,0.000000
77,0.000000
78,0.000000
79,0.000000
80,0.000000
81,0.000000
82,0.000000
83,0.000000
84,0.000000
85,0.000000
86,0.000000
87,0.000000
88,0.000000
89,0.000000
90,0.000000
91,0.000000
92,0.000000
93,0.000000
94,0.000000
95,0.000000
96,0.000000
97,0.000000
98,0.000000
99,0.000000
100,0.000000
101,0.000000
102,0.000000
103,0.000000
104,0.000000
105,0.000000
106,0.000000
107,0.000000
108,0.000000
109,0.000000
110,0.000000
111,0.000000
112,0.000000
113,0.000000
114,0.000000
115,0.000000
116,0.000000
117,0.000000
118,0.000000
119,0.772567
120,0.787449
121,0.805926
122,0.857356
123,0.760501
124,0.771994
125,0.775911
126,0.793789
127,0.794987
128,0.803501
129,0.818399
130,0.823144
131,0.831805
132,0.821633
133,0.809411
134,0.803683
135,0.809254
136,0.812248
137,0.818726
138,0.826525
139,0.835030
140,0.841847
141,0.846491
142,0.847980
143,0.846658
144,0.850304
145,0.860887
146,0.870519
147,0.876695
148,0.874099
149,0.873255
150,0.867885
151,0.875657
152,0.881771
153,0.973228
154,1.000000
155,1.000000
156,1.000000
157,1.000000
158,1.000000
159,1.000000
160,1.000000
161,1.000000
162,1.000000
163,1.000000
164,1.000000
165,1.000000
166,1.000000
167,1.000000
168,1.000000
169,1.000000
170,1.000000
171,1.000000
172,1.000000
173,1.000000
174,1.000000
175,1.000000
176,0.995821
177,1.000000
178,1.000000
179,0.991741
180,0.999494
181,1.000000
182,1.000000
183,1.000000
184,1.000000
185,1.000000
186,1.000000
187,1.000000
188,1.000000
189,0.993099
190,0.995268
191,0.994212
192,0.993099
193,1.000000
194,0.991849
195,1.000000
196,1.000000
197,1.000000
198,1.000000
199,0.991826
200,0.975425
201,0.970644
202,0.959279
203,0.946465
204,0.940926
205,0.942132
206,0.940204
207,0.937825
208,0.954591
209,0.965520
210,0.983390
211,0.987984
212,0.988239
213,0.987157
214,0.977537
